product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_model,gpu_model,os,ram,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,cpu_clock
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 11,639136,19%,6799,5499,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Black,Snapdragon X Elite,Qualcomm Adreno,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",512 GB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639136.html,
2-in-1 Laptop - Convertible,Lenovo,Yoga 9,630840,18%,7999,6499,Intel AI Boost,AI Enabled,"4 Stereo Speakers, Audio by Bowers & Wilkins",Luna Grey,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Home,32 GB RAM,4K OLED PureSight 400N Multi-touch Display,3840 X 2400,"14""",1 TB PCIe NVMe M.2 SSD,Yes,5 MP + IR with Camera Shutter,1.35 kg ( 2.98 lb ),https://www.jarir.com/sa-en/lenovo-yoga-9-2-in-1-laptops-630840.html,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz
2-in-1 Laptop - Convertible,Asus,Vivobook Flip,620625,30%,3599,2499,,,Harman Kardon,Cool Silver,Intel Core i5,Intel UHD Graphics,Windows 11,8 GB RAM,WUXGA Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/asus-2-in-1-laptops-620625.html,2.6 GHz
2-in-1 Laptop - Convertible,HP,Pavilion x360,618673,27%,3699,2699,,,"Bang & Olufsen Dual Speakers, HP Audio Boost",Pale Rose Gold,Intel Core i5,Intel Iris Xe Graphics,Windows 11,8 GB RAM,FHD-IPS LED Multi-touch Display,1920 X 1080 (FHD),"14""",512 GB PCIe NVMe M.2 SSD,Yes,True Vision HD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/hp-pavilion-x360-14-2-in-1-laptops-618673.html,P-core: 1.3 - 4.6 GHz/E-core: 0.9 - 3.4 GHz
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 11,639138,19%,6799,5499,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Sapphire,Snapdragon X Elite,Qualcomm Adreno,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",512 GB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639138.html,
2-in-1 Laptop - Convertible,Lenovo,Yoga 9,653613,17%,8499,6999,Intel AI Boost up to 47 TOPS,CoPilot+ PC,Stereo Speakers (2 X 2W Woofers) + (2 X 2W Tweeters),Luna Grey,Intel Core Ultra 7,Intel Arc Graphics 140V,Windows 11 Home,32 GB RAM,2.8K OLED Touch Display,2880 X 1800,"14""",1 TB SSD,Yes,5 MP + IR with Camera Shutter,1.32 kg ( 2.91 lb ),https://www.jarir.com/sa-en/lenovo-yoga-9-2-in-1-laptops-653613.html,P-core: 2.2 - 4.8 GHz/E-core: 2.2 - 3.7 GHz
2-in-1 Laptop - Detachable,Microsoft,Surface Pro,639139,15%,7699,6499,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Black,Snapdragon X Elite,Qualcomm Adreno,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",1 TB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639139.html,
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 11,639137,19%,6799,5499,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Dune,Snapdragon X Elite,Qualcomm Adreno,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",512 GB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639137.html,
2-in-1 Laptop - Convertible,HP,Pavilion x360,618686,27%,3699,2699,,,,Natural Silver,Intel Core i5,Intel Iris Xe Graphics,Windows 11,8 GB RAM,FHD-IPS LED Multi-touch Display,1920 X 1080 (FHD),"14""",512 GB PCIe NVMe M.2 SSD,Yes,True Vision FHD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/hp-pavilion-x360-14-2-in-1-laptops-618686.html,P-core: 1.3 - 4.6 GHz/E-core: 0.9 - 3.4 GHz
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,638117,34%,2899,1899,,,"Dolby Audio, 2 X 2W Speakers",Luna Grey,Intel Core 3,Intel UHD Graphics,Windows 11 Home,8 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200,"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-flex-5-2-in-1-laptops-638117.html,P-core: 1.2 - 4.7 GHz/E-core: 0.9 - 3.3 GHz
