product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,color,cpu_clock,cpu_model,gpu_model,image_url,os,ram,storage,weight_kg,product_url,price,renewed
AIO,MSI,Infinite X3 AI,650217,44%,14999,8399.0,Intel AI Boost,AI Enabled,Black,3.3 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 Ti (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/b/a/b/7babf8be6467c60c830ab22d1377323746ceb0a8_650217.jpg,Windows 11,32 GB RAM,1 TB SSD,29.2,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650217.html,8399.0,new
AIO,MSI,Infinite X3 AI,650219,35%,16999,10999.0,Intel AI Boost,AI Enabled,Black,P-core: 3.9 - 5.4 GHz/E-core: 3.3 - 4.6 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/4/1/7/3/4173bbe857809d17581ced05b66c075b8dd6a242_650219.jpg,Windows 11,32 GB RAM,1 TB PCIe NVMe M.2 SSD/1 TB HDD,29.2,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650219.html,10999.0,new
AIO,MSI,Vision X AI,650211,27%,21999,15999.0,Intel AI Boost,AI Enabled,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/a/7/e/4/a7e4a3d7f444bddeb0d651e0596993f3a8be916e_650211.jpg,Windows 11,64 GB RAM,2 TB SSD,35.77,https://www.jarir.com/sa-en/msi-vision-x-cpu-650211.html,15999.0,new
AIO,MSI,Vision X AI,650209,15%,29999,25499.0,Intel AI Boost,AI Enabled,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (32 GB),https://ak-asset.jarir.com/akeneo-prod/asset/1/4/6/0/1460cd99a8e9c4c19ac6ca621b71eae0cc60a879_650209.jpg,Windows 11,128 GB RAM,2 TB SSD/2 TB HDD,35.37,https://www.jarir.com/sa-en/msi-vision-x-cpu-650209.html,25499.0,new
AIO,MSI,Infinite X3 AI,650218,16%,11999,9999.0,Intel AI Boost,AI Enabled,Black,3.3 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/e/6/3/a/e63aa195c2b0769716595a6f24ee914ab0a499c7_650218.jpg,Windows 11,32 GB RAM,1 TB SSD,29.24,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650218.html,9999.0,new
AIO,INFINIARC,Cube,652130,,3899,,,,Black,P-core: 2.5 - 4.7 GHz/E-core: 1.8 - 3.5 GHz,Intel Core i5,NVIDIA GeForce RTX 4060 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/6/c/6/e/6c6e131ec78565725aed883ad88739345ba9b6d7_652130.jpg,Windows 11,32 GB RAM,1 TB SSD,17.11,https://www.jarir.com/sa-en/infiniarc-cube-cpu-652130.html,,new
AIO,Acer,Predator Orion 7000,649807,5%,18499,17499.0,Intel AI Boost,AI Enabled,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/9/4/a/5/94a55386238cfc91a52f56262cbbaad997c07245_649807.jpg,Windows 11,64 GB RAM,2 TB SSD,31.15,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649807.html,17499.0,new
AIO,Acer,Predator Orion 7000,649806,9%,25999,23499.0,Intel AI Boost,AI Enabled,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (32 GB),https://ak-asset.jarir.com/akeneo-prod/asset/9/7/c/e/97ce5de63334c30a0594378f9c00a1673127ffc4_649806.jpg,Windows 11,128 GB RAM,2 TB SSD,30.69,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649806.html,23499.0,new
AIO,HP,OMEN 40L,635737,16%,11999,9999.0,,,Black,5.6 GHz,Intel Core i7,NVIDIA GeForce RTX 4070 Super (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/3/6/f/f/36ff689a1550d63ee39a0434a40300c7d818149c_635737.jpg,Windows 11 Home,64 GB RAM,1 TB PCIe NVMe TLC SSD,27.37,https://www.jarir.com/sa-en/hp-omen-cpu-635737.html,9999.0,new
AIO,Acer,Nitro N,649809,9%,6399,5799.0,Intel AI Boost,AI Enabled,Black,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/1/1/f/5/11f54ad3b0671ee0197c0ef8e2d54043159c1dd6_649809.jpg,Windows 11,32 GB RAM,1 TB SSD,25.2,https://www.jarir.com/sa-en/acer-nitro-n50-cpu-649809.html,5799.0,new
