product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_clock,cpu_model,gpu_model,image_url,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,special_features,storage,webcam,weight_kg,product_url,price,renewed
Gaming Laptop,MSI,Raider,650224,15%,18999.0,15999.0,Intel AI Boost,AI Enabled,"Nahimic Sound, (2 X 2W + 4 X 2W) Speakers",Core Black,5.5 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/1/9/4/0/19403e1de2a10934cad5bcca4ebc8752b1355417_650224.jpg,Windows 11 Pro,64 GB RAM,2025.0,UHD+ Mini-LED 120 Hz Display,3840 X 2400,"18""",Per-key RGB Backlit Keyboard,2 TB NVMe PCIe Gen 4Ã4 SSD,FHD IR Camera,3.60 kg ( 7.94 lb ),https://www.jarir.com/sa-en/msi-raider-18-hx-laptops-650224.html,15999.0,new
Gaming Desktop CPU,MSI,Vision X AI,650209,15%,29999.0,25499.0,Intel AI Boost,AI Enabled,,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (32 GB),https://ak-asset.jarir.com/akeneo-prod/asset/1/4/6/0/1460cd99a8e9c4c19ac6ca621b71eae0cc60a879_650209.jpg,Windows 11,128 GB RAM,,,,,,2 TB SSD/2 TB HDD,,35.37,https://www.jarir.com/sa-en/msi-vision-x-cpu-650209.html,25499.0,new
Gaming Laptop,MSI,Titan,650220,14%,26999.0,22999.0,Intel AI Boost,AI Enabled,"Nahimic Sound, (2 X 2W + 4 X 2W) Speakers",Core Black,5.5 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (24 GB),https://ak-asset.jarir.com/akeneo-prod/asset/9/7/e/6/97e62c71fba2c897670d1d38b9543657be3f8226_650220.jpg,Windows 11 Pro,64 GB RAM,2025.0,UHD+ Mini-LED 120 Hz Display,3840 X 2400,"18""",Per-key RGB Backlit Keyboard,6 TB SSD,FHD IR Camera,3.60 kg ( 7.94 lb ),https://www.jarir.com/sa-en/msi-titan-18-hx-laptops-650220.html,22999.0,new
Gaming Desktop CPU,INFINIARC,Cube,652130,,3899.0,,,,,Black,P-core: 2.5 - 4.7 GHz/E-core: 1.8 - 3.5 GHz,Intel Core i5,NVIDIA GeForce RTX 4060 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/6/c/6/e/6c6e131ec78565725aed883ad88739345ba9b6d7_652130.jpg,Windows 11,32 GB RAM,,,,,,1 TB SSD,,17.11,https://www.jarir.com/sa-en/infiniarc-cube-cpu-652130.html,,new
Gaming Desktop CPU,MSI,Vision X AI,650211,27%,21999.0,15999.0,Intel AI Boost,AI Enabled,,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/a/7/e/4/a7e4a3d7f444bddeb0d651e0596993f3a8be916e_650211.jpg,Windows 11,64 GB RAM,,,,,,2 TB SSD,,35.77,https://www.jarir.com/sa-en/msi-vision-x-cpu-650211.html,15999.0,new
Gaming Desktop CPU,MSI,Infinite X3 AI,650217,44%,14999.0,8399.0,Intel AI Boost,AI Enabled,,Black,3.3 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 Ti (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/b/a/b/7babf8be6467c60c830ab22d1377323746ceb0a8_650217.jpg,Windows 11,32 GB RAM,,,,,,1 TB SSD,,29.2,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650217.html,8399.0,new
Gaming Laptop,Asus,ROG Strix SCAR 18,648711,12%,24999.0,21799.0,Intel AI Boost up to 13 TOPS,AI Enabled,4 Speakers with Smart Amp Technology,Off Black,2.7 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (24 GB),https://ak-asset.jarir.com/akeneo-prod/asset/0/0/a/9/00a9c3a72cfc99307c89d846fd69b08cca51b6ee_648711.jpg,Windows 11 Home,64 GB RAM,2025.0,2.5K WQXGA Mini LED 240 Hz Display,2560 X 1600 (WQXGA),"18""","Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",2 TB + 2 TB PCIe 4.0 NVMe SSD,1080P FHD IR Camera,3.30 kg ( 7.28 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-648711.html,21799.0,new
Gaming Laptop,HP,OMEN,634904,29%,12699.0,8999.0,Intel AI Boost,AI Enabled,"DTS:X Ultra, Dual Speakers, HP Audio Boost",Shadow Black,5.1 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 4070 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/2/5/a/e/25ae003b5d13f65c90a0f6fdca8499e765e95a41_634904.jpg,Windows 11 Home,32 GB RAM,2024.0,2.8K OLED 400N Display,2880 X 1800 (OLED),"14""","RGB Backlit, Low Blue Light",2 TB PCIe NVMe M.2 SSD,True Vision FHD Webcam,1.63 kg ( 3.59 lb ),https://www.jarir.com/sa-en/hp-omen-laptops-634904.html,8999.0,new
Gaming Laptop,Lenovo,Legion 9,628031,17%,19999.0,16499.0,,,Harman Speakers with Nahimic Audio,Carbon Black,2.2 GHz,Intel Core i9,NVIDIA GeForce RTX 4090 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/d/2/d/7d2db1db689f6b86e90fde13d4ca9a9d39af8f86_628031.jpg,Windows 11 Home,64 GB RAM,2023.0,3.2K Mini LED 165 Hz,3200 X 2000,"16""",,2 TB PCIe NVMe M.2 SSD,FHD Webcam,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/lenovo-legion-9-laptops-628031.html,16499.0,new
Gaming Desktop CPU,MSI,Infinite X3 AI,650219,35%,16999.0,10999.0,Intel AI Boost,AI Enabled,,Black,P-core: 3.9 - 5.4 GHz/E-core: 3.3 - 4.6 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/4/1/7/3/4173bbe857809d17581ced05b66c075b8dd6a242_650219.jpg,Windows 11,32 GB RAM,,,,,,1 TB PCIe NVMe M.2 SSD/1 TB HDD,,29.2,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650219.html,10999.0,new
Gaming Desktop CPU,Acer,Predator Orion 7000,649806,9%,25999.0,23499.0,Intel AI Boost,AI Enabled,,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (32 GB),https://ak-asset.jarir.com/akeneo-prod/asset/9/7/c/e/97ce5de63334c30a0594378f9c00a1673127ffc4_649806.jpg,Windows 11,128 GB RAM,,,,,,2 TB SSD,,30.69,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649806.html,23499.0,new
Gaming Laptop,MSI,Vector,650249,19%,12999.0,10499.0,Intel AI Boost up to 13 TOPS,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Cosmos Grey,P-core: 2.7 - 5.4 GHz/E-core: 2.1 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5070 Ti (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/f/5/d/c/f5dc9e258355b739482212f8430a686897900063_650249.jpg,Windows 11 Home,32 GB RAM,2025.0,QHD+ 240 Hz Display,2560 X 1600,"16""",24-Zone RGB Gaming Keyboard,1 TB PCIe 4.0 NVMe M.2 SSD,HD Webcam,2.70 kg ( 5.95 lb ),https://www.jarir.com/sa-en/msi-vector-16-hx-laptops-650249.html,10499.0,new
Gaming Desktop CPU,MSI,Infinite X3 AI,650218,16%,11999.0,9999.0,Intel AI Boost,AI Enabled,,Black,3.3 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/e/6/3/a/e63aa195c2b0769716595a6f24ee914ab0a499c7_650218.jpg,Windows 11,32 GB RAM,,,,,,1 TB SSD,,29.24,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650218.html,9999.0,new
Gaming Laptop,Asus,ROG Strix SCAR 18,648710,11%,18999.0,16799.0,Intel AI Boost up to 13 TOPS,AI Enabled,4 Speakers with Smart Amp Technology,Off Black,2.7 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/5/0/8/750877d0d15f923b145f77e9273a60ce28f21112_648710.jpg,Windows 11 Home,64 GB RAM,2025.0,2.5K WQXGA Mini LED 240 Hz Display,2560 X 1600 (WQXGA),"18""","Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",2 TB M.2 NVMe PCIe 4.0 SSD,1080P FHD IR Camera,3.30 kg ( 7.28 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-648710.html,16799.0,new
Gaming Laptop,Lenovo,Legion Pro 5,628022,25%,7999.0,5999.0,,,"Nahimic Sound, 2 X 2W Speakers",Onyx Grey,3.7 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/a/c/6/c/ac6cbe43b9202ac9e29cd3b9703a1c196da9d10a_628022.jpg,Windows 11,16 GB RAM,2023.0,QHD-LED IPS 165 Hz Display,2560 X 1600 (WQXGA),"16""",,1 TB PCIe NVMe M.2 SSD,FHD Webcam,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/lenovo-legion-pro-5-laptops-628022.html,5999.0,new
