product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,color,cpu_clock,cpu_model,gpu_model,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,audio_feature,special_features
Laptop,Microsoft,Surface,639206,17%,9699,7999,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,Black,3.4 GHz,Qualcomm Snapdragon,Qualcomm Adreno GPU,Windows 11 Home,32 GB RAM,2024,PixelSense Flow,2496 x 1664,"15""",1 TB SSD,Yes,1080P FHD Camera,1.60 kg ( 3.53 lb ),https://www.jarir.com/sa-en/microsoft-laptops-639206.html,,
Laptop,Lenovo,Yoga Pro 7,636692,31%,7299,4999,AMD Ryzen AI up to 50 TOPS,AI Enabled,Luna Grey,2.0 GHz,AMD Ryzen 9,Integrated AMD,Windows 11 Home,32 GB RAM,2024,2.8K OLED Display,2880 X 1800 (OLED),"14.5""",1 TB SSD,,FHD 1080p with E-shutter,1.59 kg ( 3.51 lb ),https://www.jarir.com/sa-en/lenovo-yoga-pro7-laptops-636692.html,,
Laptop,Acer,Swift,635184,33%,5699,3799,Qualcomm Hexagon NPU up to 45 TOPS,CoPilot+ PC,Silver,3.4 GHz,,Qualcomm Adreno GPU,Windows 11,16 GB RAM,2024,QHD 120 Hz Display,2560 X 1600,"14.5""",1 TB SSD,,QHD Webcam,1.20 kg ( 2.65 lb ),https://www.jarir.com/sa-en/acer-swift-sf14-11-x41l-laptops-635184.html,Built-in Mic/Speakers,
Laptop,Lenovo,Yoga Slim 7,646830,28%,5999,4299,Qualcomm Hexagon NPU up to 45 TOPS,CoPilot+ PC,Cosmic Blue,3.4 GHz,Snapdragon X Plus,Qualcomm Adreno GPU,Windows 11 Home,16 GB RAM,2024,3K OLED Multi-touch,2944 X 1840,"14.5""",1 TB PCIe NVMe M.2 SSD,Yes,FHD 1080p with E-shutter,1.28 kg ( 2.82 lb ),https://www.jarir.com/sa-en/lenovo-yoga-slim-7-laptops-646830.html,"Dolby Atmos, 2 X 2W Tweeters + 2 X 2W Woofers",
Laptop,Huawei,MateBook,638525,32%,4299,2899,Intel AI Boost,AI Enabled,Space Grey,P-core: 1.2 - 4.5 GHz/E-core: 0.7 - 3.6 GHz,Intel Core Ultra 5,Intel Arc Graphics,Windows 11 Home,16 GB RAM,2024,OLED Display,2880 X 1920,"14.2""",1 TB M.2 NVMe PCIe 4.0 SSD,Yes,FHD (2 MP) Webcam,1.31 kg ( 2.89 lb ),https://www.jarir.com/sa-en/huawei-laptops-638525.html,Built-in Mic/Speakers,Full Size Keyboard
Laptop,Huawei,MateBook X Pro,635791,28%,6999,4999,Intel AI Boost,AI Enabled,Black,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Home,16 GB RAM,2024,3K OLED Display,3120 X 2080,"14.2""",1 TB PCIe NVMe M.2 SSD,Yes,1080p HD Camera,980.00 g ( 2.16 lb ),https://www.jarir.com/sa-en/huawei-laptops-635791.html,"6 Speakers, 4 Microphone",
Laptop,Asus,Zenbook,639434,21%,6999,5499,Intel AI Boost up to 47 TOPS,CoPilot+ PC,Zumaia Grey,1.8 GHz,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Home,32 GB RAM,2024,3K OLED 120 Hz,2880 X 1800 (OLED),"14""",1 TB M.2 NVMe PCIe 4.0 SSD,,FHD IR Camera,1.20 kg ( 2.65 lb ),https://www.jarir.com/sa-en/asus-laptops-639434.html,"Built-in Speaker/Microphone, Smart Amp Technology, Harman/Kardon (Premium)","Copilot Key, Backlit Chiclet Keyboard"
Laptop,Lenovo,Yoga Slim 7,636632,28%,6999,4999,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,Cosmic Blue,3.4 GHz,Qualcomm Snapdragon,Qualcomm Adreno GPU,Windows 11 Home,32 GB RAM,2024,3K OLED Multi-touch,2944 X 1840,"14.5""",1 TB SSD,Yes,FHD IR Camera,1.29 kg ( 2.84 lb ),https://www.jarir.com/sa-en/lenovo-ygs7-14q8x9-laptops-636632.html,"Built-in Speakers, Optimized with Dolby Atmos","Ultra Slim, DisplayHDR, Low Blue Light"
Laptop,Lenovo,Yoga Pro 9,639986,15%,9999,8499,Intel AI Boost,AI Enabled,Luna Grey,P-core: 2.3 - 5.1 GHz/E-core: 1.8 - 3.8 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,32 GB RAM,2024,3.2K Mini LED 165 Hz,3200 X 2000,"16""",1 TB SSD,,5 MP + IR with E-shutter,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/lenovo-yoga-pro-9-laptops-639986.html,6 Speakers with Smart Amp Technology,
Laptop,Huawei,MateBook,638523,27%,4999,3649,Intel AI Boost,AI Enabled,Green,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Home,16 GB RAM,2024,OLED Display,2880 X 1920,"14.2""",1 TB M.2 NVMe PCIe 4.0 SSD,,FHD (2 MP) Webcam,1.31 kg ( 2.89 lb ),https://www.jarir.com/sa-en/huawei-laptops-638523.html,Built-in Mic/Speakers,Full Size Keyboard
Laptop,Huawei,MateBook D,628657,37%,3499,2199,,,Mystic Silver,P-core: 2.1 - 4.6 GHz/E-core: 1.5 - 3.4 GHz,Intel Core i5,Intel UHD Graphics,Windows 11,16 GB RAM,2024,FHD-IPS Anti-glare,1920 X 1200 (WUXGA),"16""",1 TB SSD,,FHD Webcam,1.73 kg ( 3.81 lb ),https://www.jarir.com/sa-en/huawei-laptops-628657.html,2 X 2W Speakers,
