product_type,series,cpu_model,cpu_clock,gpu_model,ram,storage,os,os_arch,ai_coprocessor,ai_enabled,connectivity,ports,color,width_cm,height_cm,depth_cm,weight_kg,regular_price_sar,sale_price_sar,discount_percent,warranty_code,screen_size_inch,release_date,screen_refresh_rate_hz,screen_resolution,audio_feature,special_features,webcam,vr_ready,product_url
Gaming Laptop,MSI Vector,Intel Core Ultra 9 275HX,P-core: 2.7 - 5.4 GHz/E-core: 2.1 - 4.6 GHz,NVIDIA GeForce RTX 5070 Ti (12 GB),32 GB RAM,1 TB PCIe 4.0 NVMe M.2 SSD,Windows 11 Home,64 bit,Intel AI Boost up to 13 TOPS,AI Enabled,Wi-Fi (7)/Bluetooth (5.4),USB 3.2/USB-C/Thunderbolt 4,Cosmos Grey,35.70 cm ( 14.06 in ),28.40 cm ( 11.18 in ),2.22 cm ( .87 in ),2.70 kg ( 5.95 lb ),12999.0,10499.0,19%,08-3RD12Y2,"16""",2025,QHD+ 240 Hz Display,2560 X 1600,"Nahimic Sound, 2 X 2W Speakers",24-Zone RGB Gaming Keyboard,HD Webcam,VR Enabled,https://www.jarir.com/sa-en/msi-vector-16-hx-laptops-650249.html
Gaming Laptop,,Intel Core i9-14900HX (14th Gen),2.2 - 5.8 GHz,NVIDIA GeForce RTX 4080 (12 GB),32 GB RAM,1 TB SSD,Windows 11,64 bit,,,Wi-Fi (7)/Bluetooth (5),HDMI 2.1/USB 2.0/USB 3.1/USB-C,Black,380.00 mm ( 14.96 in ),226.00 mm ( 8.90 in ),21.00 mm ( .83 in ),2.20 kg ( 4.85 lb ),12499.0,9999.0,20%,34-ASPY2,"16""",2024,WQXGA IPS 240 Hz,2560 X 1600,,"Aero Blade 5th Gen Fans, 4 Zone RGB Keyboard",FHD Webcam,,https://www.jarir.com/sa-en/acer-helios-ph16-72-9467-laptops-635227.html
Gaming Desktop CPU,MSI Vision,Intel Core Ultra 9 285K,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,NVIDIA GeForce RTX 5090 (32 GB),128 GB RAM,2 TB SSD/2 TB HDD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI/USB-A/USB-C/Thunderbolt,Black,44.85 cm ( 17.66 in ),32.88 cm ( 12.94 in ),28.92 cm ( 11.39 in ),35.37,29999.0,26999.0,10%,08-3RD12Y2,,,,,,,,,https://www.jarir.com/sa-en/msi-vision-x-cpu-650209.html
Gaming Laptop,Lenovo Legion,Intel Core i9-14900HX (14th Gen),2.2 GHz,NVIDIA GeForce RTX 4090 (16 GB),64 GB RAM,2 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,Carbon Black,35.77 cm ( 14.08 in ),27.70 cm ( 10.91 in ),1.90 cm ( .75 in ),2.50 kg ( 5.51 lb ),19999.0,16999.0,15%,26-ASP12Y2,"16""",2023,3.2K Mini LED 165 Hz,3200 X 2000,Harman Speakers with Nahimic Audio,,FHD Webcam,VR Enabled,https://www.jarir.com/sa-en/lenovo-legion-9-laptops-628031.html
Gaming Desktop CPU,MSI Infinite,Intel Core Ultra 7 265K,3.3 GHz,NVIDIA GeForce RTX 5070 Ti (16 GB),32 GB RAM,1 TB SSD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI/USB-A/USB-C,Black,23.51 cm ( 9.26 in ),48.50 cm ( 1.59 ft ),48.12 cm ( 1.58 ft ),29.2,14999.0,10999.0,26%,08-3RD12Y2,,,,,,,,,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650217.html
Gaming Desktop CPU,MSI Vision,Intel Core Ultra 9 285K,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,NVIDIA GeForce RTX 5080 (16 GB),64 GB RAM,2 TB SSD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI/USB-A/USB-C/Thunderbolt,Black,44.85 cm ( 17.66 in ),32.88 cm ( 12.94 in ),28.92 cm ( 11.39 in ),35.77,21999.0,19999.0,9%,08-3RD12Y2,,,,,,,,,https://www.jarir.com/sa-en/msi-vision-x-cpu-650211.html
Gaming Laptop,Raider,Intel Core Ultra 9 285HX,5.5 GHz,NVIDIA GeForce RTX 5080 (16 GB),64 GB RAM,2 TB NVMe PCIe Gen 4Ã4 SSD,Windows 11 Pro,64 bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (Thunderbolt 5/DisplayPort)/RJ-45,Core Black,40.40 cm ( 15.91 in ),32.05 cm ( 12.62 in ),30.75 cm ( 12.11 in ),3.60 kg ( 7.94 lb ),18999.0,15999.0,15%,08-3RD12Y2,"18""",2025,UHD+ Mini-LED 120 Hz Display,3840 X 2400,"Nahimic Sound, (2 X 2W + 4 X 2W) Speakers",Per-key RGB Backlit Keyboard,FHD IR Camera,VR Enabled,https://www.jarir.com/sa-en/msi-raider-18-hx-laptops-650224.html
Gaming Laptop,HP Victus,Intel Core i7-13700H (13th Gen),P-core: 2.4 - 5.0 GHz/E-core: 1.8 - 3.7 GHz,NVIDIA GeForce RTX 4050 (6 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.1/USB-C/RJ-45/Audio Combo Port,Mica Silver,35.70 cm ( 14.06 in ),25.50 cm ( 10.04 in ),2.30 cm ( .91 in ),2.20 kg ( 4.85 lb ),5999.0,3799.0,36%,24-ASP12Y2,"15.6""",2023,FHD IPS AG 250N,1920 X 1080 (FHD),"Bang & Olufsen Dual Speakers, HP Audio Boost",,Wide Vision HD Webcam,,https://www.jarir.com/sa-en/hp-victus-laptops-616016.html
Gaming Desktop CPU,MSI Infinite,Intel Core Ultra 7 265K,P-core: 3.9 - 5.4 GHz/E-core: 3.3 - 4.6 GHz,NVIDIA GeForce RTX 5080 (16 GB),32 GB RAM,1 TB PCIe NVMe M.2 SSD/1 TB HDD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI/USB-A/USB-C,Black,23.51 cm ( 9.26 in ),48.50 cm ( 1.59 ft ),48.12 cm ( 1.58 ft ),29.2,16999.0,14999.0,11%,08-3RD12Y2,,,,,,,,,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650219.html
Gaming Laptop,MSI Titan,Intel Core Ultra 9 285HX,5.5 GHz,NVIDIA GeForce RTX 5090 (24 GB),64 GB RAM,6 TB SSD,Windows 11 Pro,64 bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (Thunderbolt 5/DisplayPort)/RJ-45,Core Black,40.40 cm ( 15.91 in ),32.05 cm ( 12.62 in ),30.75 cm ( 12.11 in ),3.60 kg ( 7.94 lb ),26999.0,22999.0,14%,08-3RD12Y2,"18""",2025,UHD+ Mini-LED 120 Hz Display,3840 X 2400,"Nahimic Sound, (2 X 2W + 4 X 2W) Speakers",Per-key RGB Backlit Keyboard,FHD IR Camera,VR Enabled,https://www.jarir.com/sa-en/msi-titan-18-hx-laptops-650220.html
