product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Wi-Fi Tablet PC,Apple,iPad Pro 11 M2,598785,20%,8649,6849,Apple Intelligence,Silver,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",2 TB,466.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-tablet-pc-598785.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 PaperMatte,663521,15%,1599,1349,,Violet,,HarmonyOS 4.3,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2456 X 1600 PixelsÂ ,Huawei App Gallery,256 GB,515.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-663521.html,
Tablet - 5G,Apple,iPad Pro 11 M2,598788,14%,7549,6449,Apple Intelligence,Silver,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,470.00 g ( 1.04 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-tablet-pc-598788.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 11 M2,598781,20%,8649,6849,Apple Intelligence,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",2 TB,466.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-tablet-pc-598781.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 PaperMatte,663517,15%,1599,1349,,Space Grey,,HarmonyOS 4.3,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2456 X 1600 PixelsÂ ,Huawei App Gallery,256 GB,515.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-663517.html,
Tablet - Wi-Fi (with Huawei M Pencil),Huawei,MatePad PaperMatte,626454,57%,1999,849,,Graphite Black,,HarmonyOS 3.1,8 GB RAM,PaperMatte Touchscreen,"11""",2560 X 1600 Pixels,Huawei App Gallery,128 GB,480.00 g ( 1.06 lb ),https://www.jarir.com/sa-en/huawei-matepad-papermatte-tablet-pc-626454.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M2,598776,15%,6849,5799,Apple Intelligence,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,466.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-tablet-pc-598776.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,598792,16%,6349,5299,Apple Intelligence,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-tablet-pc-598792.html,
Tablet - 5G,Apple,iPad Pro 11 M2,598786,14%,7549,6449,Apple Intelligence,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,470.00 g ( 1.04 lb ),https://www.jarir.com/sa-en/apple-tablet-pc-598786.html,1 SIM
Wi-Fi Tablet PC,Samsung,Galaxy Tab S9,622744,38%,3399,2099,,Graphite,,Android 13,8 GB RAM,Dynamic AMOLED 2X,"11""",2560 X 1600 Pixels,"120 Hz Display, Water and Dust Resistant (IP68)",128 GB,500.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s8-tablet-pc-622744.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab S9,626639,38%,3399,2099,,Beige,,Android 13,8 GB RAM,Dynamic AMOLED 2X,"11""",2560 X 1600 Pixels,"120 Hz Display, Water and Dust Resistant (IP68)",128 GB,500.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/samsung-tablet-pc-626639.html,
Tablet - Wi-Fi (with Keyboard + Pen),Honor,MagicPad2,641860,33%,2999,1999,,White,1X Cortex-X4 3.0 + 4X Cortex-A720 2.8 + 3X Cortex-A520 2.0 GHz,Android 14 (MagicOS 8.0.1),12 GB RAM,OLED,"12.3""",3000 X 1920 Pixels,"HONOR Surround Sound, Ultra-Strong and Slim Design",256 GB,.56 kg ( 1.23 lb ),https://www.jarir.com/sa-en/honor-tablet-pc-641860.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab S10 Ultra,644987,20%,4899,3899,AI Enabled,Platinum Silver,3.4 GHz + 2.8 GHz + 2.0 GHz,Android 14,12 GB RAM,Dynamic AMOLED 2X,"14.6""",2960 X 1848 Pixels,"Water and Dust Resistant (IP68), Enhanced Armor Aluminum",256 GB,718.00 g ( 1.58 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-ultra-tablet-pc-644987.html,
Tablet - Wi-Fi (with Keyboard + Pen),Honor,MagicPad2,641861,33%,2999,1999,,Black,1X Cortex-X4 3.0 + 4X Cortex-A720 2.8 + 3X Cortex-A520 2.0 GHz,Android 14 (MagicOS 8.0.1),12 GB RAM,OLED,"12.3""",3000 X 1920 Pixels,"HONOR Surround Sound, Ultra-Strong and Slim Design",256 GB,560.00 g ( 1.23 lb ),https://www.jarir.com/sa-en/honor-tablet-pc-641861.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab S10 Ultra,644981,20%,4899,3899,AI Enabled,Moonstone Grey,3.4 GHz + 2.8 GHz + 2.0 GHz,Android 14,12 GB RAM,Dynamic AMOLED 2X,"14.6""",2960 X 1848 Pixels,"Water and Dust Resistant (IP68), Enhanced Armor Aluminum",256 GB,718.00 g ( 1.58 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-ultra-tablet-pc-644981.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,641858,30%,3299,2299,,Black,,HarmonyOS 4.2,12 GB RAM,OLED,"12.2""",2800 X 1840 Pixels,"Huawei Notes, GoPaint, 100W Fast Charging, Smart Device",256 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-641858.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,641859,25%,3599,2699,,Premium Gold,,HarmonyOS 4.2,12 GB RAM,OLED PaperMatte Touchscreen,"12.2""",2800 X 1840 Pixels,"Huawei Notes, GoPaint, 100W Fast Charging, Smart Device",512 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-641859.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 13.2,653650,20%,4499,3599,,Premium Gold,,HarmonyOS 4.3,12 GB RAM,OLED PaperMatte Touchscreen,"13.2""",2880 X 1920 Pixels,"AI Handwriting Adjustments, 100W Fast Charging",512 GB,580.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-13-2-tablet-pc-653650.html,
Wi-Fi Tablet PC,Huawei,MatePad Pro 12.2,649210,25%,3599,2699,,Black,,HarmonyOS 4.2,12 GB RAM,OLED PaperMatte Touchscreen,"12.2""",2800 X 1840 Pixels,"HUAWEI Notes, GoPaint, 100W Fast Charging, Smart Device",512 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-tablet-pc-649210.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab S10+,644968,20%,3999,3199,AI Enabled,Moonstone Grey,3.4 GHz + 2.8 GHz + 2.0 GHz,Android 14,12 GB RAM,Dynamic AMOLED 2X,"12.4""",2800 X 1752 Pixels,"Water and Dust Resistant (IP68), Enhanced Armor Aluminum",256 GB,571.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-tablet-pc-644968.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab S10+,644972,20%,3999,3199,AI Enabled,Platinum Silver,3.4 GHz + 2.8 GHz + 2.0 GHz,Android 14,12 GB RAM,Dynamic AMOLED 2X,"12.4""",2800 X 1752 Pixels,"Water and Dust Resistant (IP68), Enhanced Armor Aluminum",256 GB,571.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-tablet-pc-644972.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,659579,24%,3299,2499,,Black,,HarmonyOS 4.3,12 GB RAM,Tandem OLED Display,"12.2""",2800 X 1840 Pixels,,256 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-tablet-pc-659579.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,659578,19%,3599,2899,,Green,,HarmonyOS 4.3,12 GB RAM,Tandem OLED PaperMatte Display,"12.2""",2800 X 1840 Pixels,,512 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-tablet-pc-659578.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,659577,19%,3599,2899,,Black,,HarmonyOS 4.3,12 GB RAM,Tandem OLED PaperMatte Display,"12.2""",2800 X 1840 Pixels,,512 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-tablet-pc-659577.html,
