regular_price_sar,sale_price_sar,discount_percent,warranty_code,url_path,connectivity,series,product_type,color,width_cm,height_cm,depth_cm,weight_kg,special_features,product_url,ports
1909,1299,31%,BZ-COLY2,bose-triple-speakers-541094.html,Bluetooth,Bose Home,Smart Speaker/Voice Assistant,Black,11.90 cm ( 4.69 in ),19.20 cm ( 7.56 in ),10.30 cm ( 4.06 in ),1.4,"Built-in Voice Control, up to 12 Hr Battery Life, Protects Against Bumps, Drops",https://www.jarir.com/sa-en/bose-triple-speakers-541094.html,
1499,1099,26%,JB-REPY2,tp-link-deco-x50-5g-modem-router-611570.html,,,5G CPE Router,White,4.80 in ( 12.19 cm ),8.30 in ( 21.08 cm ),5.10 in ( 12.95 cm ),2.4,TP-Link HomeShield,https://www.jarir.com/sa-en/tp-link-deco-x50-5g-modem-router-611570.html,RJ-45
1699,1099,35%,JB-REPY2,tp-link-deco-x60-v3-20-3-pack-modem-router-628156.html,,,Whole Home Mesh Wi-Fi,White,,,,3.12,"HomeShield, Mesh, OFDMA and MU-MIMO Technology",https://www.jarir.com/sa-en/tp-link-deco-x60-v3-20-3-pack-modem-router-628156.html,RJ-45
2299,1499,34%,JB-REPY2,tp-link-deco-be65-2-pack-modem-router-630518.html,,,Whole Home Mesh Wi-Fi,White,,,,3.04,"Seamless AI-Driven Mesh, HomeShield, Built-In Antivirus",https://www.jarir.com/sa-en/tp-link-deco-be65-2-pack-modem-router-630518.html,RJ-45/USB 3.0
2699,2199,18%,JB-REPY2,tp-link-archer-ge800-modem-router-643377.html,,,Gaming Router,Black,,,,6.92,"12-Stream Tri-Band Wi-Fi, TP-Link HomeShield, Dedicated Gaming Port",https://www.jarir.com/sa-en/tp-link-archer-ge800-modem-router-643377.html,RJ-45/USB 3.0
2499,1799,28%,JB-REPY2,tp-link-deco-be65-5g-1-pack-modem-router-650271.html,,,5G CPE Router,White,128.00 mm ( 5.04 in ),236.00 mm ( 9.29 in ),128.00 mm ( 5.04 in ),2.48,"2.5 Gbps Wired Connections, TP-Link HomeShield, AI-Driven Mesh",https://www.jarir.com/sa-en/tp-link-deco-be65-5g-1-pack-modem-router-650271.html,RJ-45/USB 2.0
1999,1399,30%,JB-REPY2,tp-link-deco-xe75-3-pack-modem-router-594204.html,,,Whole Home Mesh Wi-Fi,White,4.10 in ( 10.41 cm ),4.10 in ( 10.41 cm ),6.70 in ( 17.02 cm ),3.57,"AI-Driven Mesh, TP-Link HomeShield, MU-MIMO and Mesh Technology",https://www.jarir.com/sa-en/tp-link-deco-xe75-3-pack-modem-router-594204.html,RJ-45
1299,899,30%,JB-REPY2,tp-link-archer-be550-modem-router-630521.html,,,Wireless Router,Black,3.00 in ( 7.62 cm ),9.10 in ( 23.11 cm ),8.00 in ( 20.32 cm ),2.39,"Full 2.5G Ports, TP Link HomeShield",https://www.jarir.com/sa-en/tp-link-archer-be550-modem-router-630521.html,RJ-45/USB 3.0
1339,929,30%,JB-REPY2,tp-link-deco-xe75-2-pack-modem-router-628133.html,,,Whole Home Mesh Wi-Fi,White,,,,2.68,"AI-Driven Mesh, TP-Link HomeShield, MU-MIMO and Mesh Technology",https://www.jarir.com/sa-en/tp-link-deco-xe75-2-pack-modem-router-628133.html,RJ-45
1449,899,37%,JB-REPY2,tp-link-archer-ax6600-gaming-modem-router-616031.html,,,Gaming Router,Black,8.30 in ( 21.08 cm ),8.30 in ( 21.08 cm ),2.00 in ( 5.08 cm ),3.18,"MU-MIMO and Beamforming Technology, OFMDA",https://www.jarir.com/sa-en/tp-link-archer-ax6600-gaming-modem-router-616031.html,RJ-45/USB 3.0/USB 2.0
2499,1799,28%,JB-REPY2,tp-link-archer-be800-modem-router-623109.html,,,Wireless Router,Black,,,,6.4,"12-Stream Tri-Band Wi-Fi, TP-Link HomeShield",https://www.jarir.com/sa-en/tp-link-archer-be800-modem-router-623109.html,RJ-45/USB 3.0
3199,1999,37%,JB-REPY2,tp-link-deco-be65-3-pack-modem-router-630505.html,,,Whole Home Mesh Wi-Fi,White,,,,5.71,"Seamless AI-Driven Mesh, HomeShield, Built-In Antivirus",https://www.jarir.com/sa-en/tp-link-deco-be65-3-pack-modem-router-630505.html,RJ-45/USB 3.0
