product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,color,image_url,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,ai_enabled,cpu_clock,sim_slots,price,renewed
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 PaperMatte,663521,12%,1599,1399.0,Violet,https://ak-asset.jarir.com/akeneo-prod/asset/8/0/6/c/806c7544890daa878468dfc56a62633d0266045a_663521.jpg,HarmonyOS 4.3,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2456 X 1600 PixelsÂ ,Huawei App Gallery,256 GB,515.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-663521.html,,,,1399.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,659578,19%,3599,2899.0,Green,https://ak-asset.jarir.com/akeneo-prod/asset/c/3/e/d/c3edddb801a89f2eb75da0506f461a01d17840a7_659578.jpg,HarmonyOS 4.3,12 GB RAM,Tandem OLED PaperMatte Display,"12.2""",2800 X 1840 Pixels,,512 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-tablet-pc-659578.html,,,,2899.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,659579,24%,3299,2499.0,Black,https://ak-asset.jarir.com/akeneo-prod/asset/7/8/e/9/78e900680c9d232a69e53effd037ac393c2e75e0_659579.jpg,HarmonyOS 4.3,12 GB RAM,Tandem OLED Display,"12.2""",2800 X 1840 Pixels,,256 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-tablet-pc-659579.html,,,,2499.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,659577,19%,3599,2899.0,Black,https://ak-asset.jarir.com/akeneo-prod/asset/7/d/b/6/7db6e163763e30c1bc0807b2847d58f5fd220ef9_659577.jpg,HarmonyOS 4.3,12 GB RAM,Tandem OLED PaperMatte Display,"12.2""",2800 X 1840 Pixels,,512 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-tablet-pc-659577.html,,,,2899.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab S9,626639,38%,3399,2099.0,Beige,https://ak-asset.jarir.com/akeneo-prod/asset/4/7/2/1/472172e873cbed2632c6951dafd8806571fce82a_626639.jpg,Android 13,8 GB RAM,Dynamic AMOLED 2X,"11""",2560 X 1600 Pixels,"120 Hz Display, Water and Dust Resistant (IP68)",128 GB,500.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/samsung-tablet-pc-626639.html,,,,2099.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab S9,622744,38%,3399,2099.0,Graphite,https://ak-asset.jarir.com/akeneo-prod/asset/5/c/3/9/5c39d7454ff32a5a809a0ae5af351ca898c0af9d_622744.jpg,Android 13,8 GB RAM,Dynamic AMOLED 2X,"11""",2560 X 1600 Pixels,"120 Hz Display, Water and Dust Resistant (IP68)",128 GB,500.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s8-tablet-pc-622744.html,,,,2099.0,new
Tablet - Wi-Fi (with Huawei M Pencil),Huawei,MatePad PaperMatte,626454,57%,1999,849.0,Graphite Black,https://ak-asset.jarir.com/akeneo-prod/asset/1/f/a/f/1faf21e9f2f0faded110a34054bc8f9aec7c054c_626454.jpg,HarmonyOS 3.1,8 GB RAM,PaperMatte Touchscreen,"11""",2560 X 1600 Pixels,Huawei App Gallery,128 GB,480.00 g ( 1.06 lb ),https://www.jarir.com/sa-en/huawei-matepad-papermatte-tablet-pc-626454.html,,,,849.0,new
Wi-Fi Tablet PC,Apple,iPad Pro 11 M2,598785,20%,8649,6849.0,Silver,https://ak-asset.jarir.com/akeneo-prod/asset/c/7/3/7/c73793df95209c9e3084d63804dc8776438aeda1_598785.jpg,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",2 TB,466.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-tablet-pc-598785.html,Apple Intelligence,4 Performance Cores/4 Efficiency Cores,,6849.0,new
Wi-Fi Tablet PC,Apple,iPad Pro 11 M2,598781,20%,8649,6849.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/3/1/b/d/31bd53c993c926629ca14dbb0572a5d2ce1a1337_598781.jpg,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",2 TB,466.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-tablet-pc-598781.html,Apple Intelligence,4 Performance Cores/4 Efficiency Cores,,6849.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 PaperMatte,663517,12%,1599,1399.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/7/f/4/2/7f427f69aaab7d6ab6594d3eea71ccdfcefb0740_663517.jpg,HarmonyOS 4.3,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2456 X 1600 PixelsÂ ,Huawei App Gallery,256 GB,515.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-663517.html,,,,1399.0,new
Tablet - 5G,Apple,iPad Pro 11 M2,598786,14%,7549,6449.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/2/2/f/a/22fa17988abc0528acb85966f9cd956c6fa0215d_598786.jpg,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,470.00 g ( 1.04 lb ),https://www.jarir.com/sa-en/apple-tablet-pc-598786.html,Apple Intelligence,4 Performance Cores/4 Efficiency Cores,1 SIM,6449.0,new
Wi-Fi Tablet PC,Huawei,MatePad 11.5,663526,18%,1099,899.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/9/1/1/e/911ed8df5c6cec5be619a8d1d8b85c4956fa4e02_663526.jpg,HarmonyOS 4.3,8 GB RAM,120 Hz IPS Display,"11.5""",2456 X 1600 PixelsÂ ,Huawei App Gallery,128 GB,515.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-tablet-pc-663526.html,,,,899.0,new
Tablet - 5G,Apple,iPad Pro 11 M2,598788,14%,7549,6449.0,Silver,https://ak-asset.jarir.com/akeneo-prod/asset/5/e/5/9/5e5980509f13c4e824af67aa3af8a57fc14e37f2_598788.jpg,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,470.00 g ( 1.04 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-tablet-pc-598788.html,Apple Intelligence,4 Performance Cores/4 Efficiency Cores,1 SIM,6449.0,new
Wi-Fi Tablet PC,Apple,iPad Pro 11 M2,598776,15%,6849,5799.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/f/5/3/f/f53f539950c312a69fe0d9e29e97b6560e532c47_598776.jpg,iPadOS 16,16 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,466.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-tablet-pc-598776.html,Apple Intelligence,4 Performance Cores/4 Efficiency Cores,,5799.0,new
Tablet - Wi-Fi (with Keyboard + Pen),Honor,MagicPad2,641860,33%,2999,1999.0,White,https://ak-asset.jarir.com/akeneo-prod/asset/5/0/d/0/50d0bf03653d7bec092b4852fd39fc0ea12bf87f_641860.jpg,Android 14 (MagicOS 8.0.1),12 GB RAM,OLED,"12.3""",3000 X 1920 Pixels,"HONOR Surround Sound, Ultra-Strong and Slim Design",256 GB,.56 kg ( 1.23 lb ),https://www.jarir.com/sa-en/honor-tablet-pc-641860.html,,1X Cortex-X4 3.0 + 4X Cortex-A720 2.8 + 3X Cortex-A520 2.0 GHz,,1999.0,new
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,598792,16%,6349,5299.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/f/c/f/e/fcfe3476f98a65b4e08cfbd4f2d77bee2f344292_598792.jpg,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-tablet-pc-598792.html,Apple Intelligence,4 Performance Cores/4 Efficiency Cores,,5299.0,new
Tablet - Wi-Fi (with Keyboard + Pen),Honor,MagicPad2,641861,33%,2999,1999.0,Black,https://ak-asset.jarir.com/akeneo-prod/asset/7/e/a/2/7ea2ed5b1c66e6c0cdbc3470bf30eb9934adbfef_641861.jpg,Android 14 (MagicOS 8.0.1),12 GB RAM,OLED,"12.3""",3000 X 1920 Pixels,"HONOR Surround Sound, Ultra-Strong and Slim Design",256 GB,560.00 g ( 1.23 lb ),https://www.jarir.com/sa-en/honor-tablet-pc-641861.html,,1X Cortex-X4 3.0 + 4X Cortex-A720 2.8 + 3X Cortex-A520 2.0 GHz,,1999.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,641858,30%,3299,2299.0,Black,https://ak-asset.jarir.com/akeneo-prod/asset/e/d/1/5/ed15190742551d1b63614247a87e51d14885e4c8_641858.jpg,HarmonyOS 4.2,12 GB RAM,OLED,"12.2""",2800 X 1840 Pixels,"Huawei Notes, GoPaint, 100W Fast Charging, Smart Device",256 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-641858.html,,,,2299.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 13.2,653650,20%,4499,3599.0,Premium Gold,https://ak-asset.jarir.com/akeneo-prod/asset/f/b/d/7/fbd79f7472da5fe977fb4ac25a61660118f81142_653650.jpg,HarmonyOS 4.3,12 GB RAM,OLED PaperMatte Touchscreen,"13.2""",2880 X 1920 Pixels,"AI Handwriting Adjustments, 100W Fast Charging",512 GB,580.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-13-2-tablet-pc-653650.html,,,,3599.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab S10 Ultra,644987,20%,4899,3899.0,Platinum Silver,https://ak-asset.jarir.com/akeneo-prod/asset/6/f/8/1/6f819796464220d03e0887df3fadd0826ace5e44_644987.jpg,Android 14,12 GB RAM,Dynamic AMOLED 2X,"14.6""",2960 X 1848 Pixels,"Water and Dust Resistant (IP68), Enhanced Armor Aluminum",256 GB,718.00 g ( 1.58 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-ultra-tablet-pc-644987.html,AI Enabled,3.4 GHz + 2.8 GHz + 2.0 GHz,,3899.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab S10 Ultra,644981,20%,4899,3899.0,Moonstone Grey,https://ak-asset.jarir.com/akeneo-prod/asset/b/0/a/d/b0adc74fc2efeba37c3773f0f3ee53b44acb540c_644981.jpg,Android 14,12 GB RAM,Dynamic AMOLED 2X,"14.6""",2960 X 1848 Pixels,"Water and Dust Resistant (IP68), Enhanced Armor Aluminum",256 GB,718.00 g ( 1.58 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-ultra-tablet-pc-644981.html,AI Enabled,3.4 GHz + 2.8 GHz + 2.0 GHz,,3899.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,641859,25%,3599,2699.0,Premium Gold,https://ak-asset.jarir.com/akeneo-prod/asset/e/1/f/8/e1f87384d2a14b63c2e0db380fc3f0175004d1de_641859.jpg,HarmonyOS 4.2,12 GB RAM,OLED PaperMatte Touchscreen,"12.2""",2800 X 1840 Pixels,"Huawei Notes, GoPaint, 100W Fast Charging, Smart Device",512 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-641859.html,,,,2699.0,new
