product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_model,gpu_model,image_url,os,ram,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,cpu_clock,price,renewed
2-in-1 Laptop - Detachable,Microsoft,Surface Pro,639139,15%,7699,6499.0,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Black,Snapdragon X Elite,Qualcomm Adreno,https://ak-asset.jarir.com/akeneo-prod/asset/e/6/b/f/e6bf36fc211af61bd9502f392c2cf27e3233bf05_639139.jpg,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",1 TB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639139.html,,6499.0,new
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 11,639136,19%,6799,5499.0,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Black,Snapdragon X Elite,Qualcomm Adreno,https://ak-asset.jarir.com/akeneo-prod/asset/7/5/c/1/75c1e1df7dc650cff975dfc1d7dce11a4f3d66e8_639136.jpg,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",512 GB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639136.html,,5499.0,new
2-in-1 Laptop - Convertible,HP,Pavilion x360,618699,27%,4799,3499.0,,,,Natural Silver,Intel Core i7,Intel Iris Xe Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/b/5/4/9/b54945842f613b7c97aa1cb8e6b3fe26bf0816e7_618699.jpg,Windows 11,16 GB RAM,FHD-IPS LED Multi-touch Display,1920 X 1080 (FHD),"14""",1 TB PCIe NVMe M.2 SSD,Yes,True Vision HD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/hp-pavilion-x360-14-2-in-1-laptops-618699.html,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,3499.0,new
2-in-1 Laptop - Convertible,HP,Spectre x360,630776,16%,9999,8399.0,Intel AI Boost,AI Enabled,"DTS:X Ultra, Quad Speakers, HP Audio Boost",Nightfall Black,Intel Core Ultra 7,NVIDIA GeForce RTX 4050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/c/5/a/b/c5ab907983b1a8537c6f73293d50e27cd8abb7b7_630776.jpg,Windows 11 Home,32 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"16""",1 TB PCIe NVMe M.2 SSD,Yes,Wide Vision 9 MP IR with Camera Shutter,1.95 kg ( 4.30 lb ),https://www.jarir.com/sa-en/hp-spectre-x360-2-in-1-laptops-630776.html,2.5 GHz,8399.0,new
2-in-1 Laptop - Convertible,Lenovo,Yoga 9,653613,17%,8499,6999.0,Intel AI Boost up to 47 TOPS,CoPilot+ PC,Stereo Speakers (2 X 2W Woofers) + (2 X 2W Tweeters),Luna Grey,Intel Core Ultra 7,Intel Arc Graphics 140V,https://ak-asset.jarir.com/akeneo-prod/asset/3/8/6/b/386b68c86065a5312ab02a4f036c8f2d40c0d205_653613.jpg,Windows 11 Home,32 GB RAM,2.8K OLED Touch Display,2880 X 1800,"14""",1 TB SSD,Yes,5 MP + IR with Camera Shutter,1.32 kg ( 2.91 lb ),https://www.jarir.com/sa-en/lenovo-yoga-9-2-in-1-laptops-653613.html,P-core: 2.2 - 4.8 GHz/E-core: 2.2 - 3.7 GHz,6999.0,new
2-in-1 Laptop - Convertible,HP,Pavilion x360,618694,27%,4799,3499.0,,,,Pale Rose Gold,Intel Core i7,Intel Iris Xe Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/3/d/1/1/3d11a57b2f2492ec10bb13b0ebe432bb35520efc_618694.jpg,Windows 11,16 GB RAM,FHD-IPS LED Multi-touch Display,1920 X 1080 (FHD),"14""",1 TB PCIe NVMe M.2 SSD,Yes,True Vision HD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/hp-pavilion-x360-14-2-in-1-laptops-618694.html,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,3499.0,new
2-in-1 Laptop - Convertible,HP,Spectre x360,630773,21%,7999,6299.0,Intel AI Boost,AI Enabled,"DTS:X Ultra, Quad Speakers, HP Audio Boost",Slate Blue,Intel Core Ultra 7,Intel Arc Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/b/2/9/f/b29f5b911c5ab5ad0be5e5e51f0c8dd1a0284939_630773.jpg,Windows 11 Home,32 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"14""",1 TB PCIe NVMe M.2 SSD,Yes,Wide Vision 9 MP IR with Camera Shutter,2.25 kg ( 4.96 lb ),https://www.jarir.com/sa-en/hp-spectre-x360-2-in-1-laptops-630773.html,2.5 GHz,6299.0,new
2-in-1 Laptop - Convertible,HP,OmniBook Flip,646597,19%,7299,5899.0,Intel AI Boost up to 47 TOPS,CoPilot+ PC,,Atmospheric Blue,Intel Core Ultra 7,Intel Arc Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/7/5/9/c/759c1300631ac808f5ecb5c37aeeb92def6c1fbb_646597.jpg,Windows 11,16 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"14""",1 TB PCIe Gen4,Yes,9 MP with IR Function,1.91 kg ( 4.21 lb ),https://www.jarir.com/sa-en/hp-omnibook-ultra-flip-2-in-1-laptops-646597.html,2.2 GHz,5899.0,new
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 11,639137,19%,6799,5499.0,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Dune,Snapdragon X Elite,Qualcomm Adreno,https://ak-asset.jarir.com/akeneo-prod/asset/8/d/8/5/8d8508f7182d6f77380c102d10776398a28f0626_639137.jpg,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",512 GB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639137.html,,5499.0,new
2-in-1 Laptop - Convertible,Lenovo,Yoga 9,630840,18%,7999,6499.0,Intel AI Boost,AI Enabled,"4 Stereo Speakers, Audio by Bowers & Wilkins",Luna Grey,Intel Core Ultra 7,Intel Arc Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/9/2/c/3/92c35637c7ed9aad038dd1addc6189d9577de305_630840.jpg,Windows 11 Home,32 GB RAM,4K OLED PureSight 400N Multi-touch Display,3840 X 2400,"14""",1 TB PCIe NVMe M.2 SSD,Yes,5 MP + IR with Camera Shutter,1.35 kg ( 2.98 lb ),https://www.jarir.com/sa-en/lenovo-yoga-9-2-in-1-laptops-630840.html,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz,6499.0,new
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 11,639138,19%,6799,5499.0,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Sapphire,Snapdragon X Elite,Qualcomm Adreno,https://ak-asset.jarir.com/akeneo-prod/asset/9/3/9/d/939d50d5dcbec6c93c2a9b131ce69cc6cfe93bb1_639138.jpg,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",512 GB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639138.html,,5499.0,new
2-in-1 Laptop - Convertible,Asus,Vivobook Flip,620625,30%,3599,2499.0,,,Harman Kardon,Cool Silver,Intel Core i5,Intel UHD Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/0/3/f/4/03f4d6ff087803ecb7b66474faf74e5370fc7d94_620625.jpg,Windows 11,8 GB RAM,WUXGA Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/asus-2-in-1-laptops-620625.html,2.6 GHz,2499.0,new
2-in-1 Laptop - Convertible,HP,Pavilion x360,618673,28%,3699,2649.0,,,"Bang & Olufsen Dual Speakers, HP Audio Boost",Pale Rose Gold,Intel Core i5,Intel Iris Xe Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/b/b/2/6/bb26ce3c1a6cc33c931f40699ee1a69447a34ab5_618673.jpg,Windows 11,8 GB RAM,FHD-IPS LED Multi-touch Display,1920 X 1080 (FHD),"14""",512 GB PCIe NVMe M.2 SSD,Yes,True Vision HD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/hp-pavilion-x360-14-2-in-1-laptops-618673.html,P-core: 1.3 - 4.6 GHz/E-core: 0.9 - 3.4 GHz,2649.0,new
2-in-1 Laptop - Convertible,HP,ENVY x360,637352,19%,5699,4599.0,Intel AI Boost,AI Enabled,"Poly Studio, Dual Speakers, DTS:X Ultra, HP Audio Boost",Meteor Silver,Intel Core Ultra 7,Integrated Intel Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/b/f/9/a/bf9a5bc48f9c215e34f02a98d2c266e17d6ebdec_637352.jpg,Windows 11 Home,16 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB PCIe NVMe M.2 SSD,Yes,5 MP IR Camera with Temporal Noise Reduction,1.39 kg ( 3.06 lb ),https://www.jarir.com/sa-en/hp-envy-x360-2-in-1-laptops-637352.html,2.5 GHz,4599.0,new
2-in-1 Laptop - Convertible,Asus,Vivobook Flip,620620,20%,4699,3749.0,,,Harman Kardon,Cool Silver,Intel Core i9,Intel Iris Xe Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/d/d/3/d/dd3d241c831e8d269791768d2f0c16c35bdfccd3_620620.jpg,Windows 11,16 GB RAM,WUXGA Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/asus-2-in-1-laptops-620620.html,2.6 GHz,3749.0,new
