regular_price_sar,sale_price_sar,discount_percent,warranty_code,url_path,product_type,color,width_cm,height_cm,depth_cm,weight_kg,screen_size_inch,screen_refresh_rate_hz,screen_resolution,special_features,product_url,connectivity,ports
4999,3449,31%,JB-RMAY2,lg-lcd-monitors-640785.html,Gaming Monitor,Black,59.00 cm ( 1.94 ft ),33.00 cm ( 12.99 in ),5.00 cm ( 1.97 in ),21.4,"27""",QHD (Quad HD),2560 X 1440 (QHD),"G-SYNC Compatible, AMD FreeSync Premium Pro, DisplayHDR TRUE BLACK 400",https://www.jarir.com/sa-en/lg-lcd-monitors-640785.html,,
6999,4999,28%,16-ASP12Y2,samsung-lcd-monitors-638055.html,Smart Gaming Monitor,Silver,719.70 mm ( 28.33 in ),414.70 mm ( 16.33 in ),49.20 mm ( 1.94 in ),21.52,"32""",4K UHD (Ultra HD),4K: 3840 X 2160 (UHD),"OLED with NQ8 AI Gen3 Processor, Super Ultrawide Game View, Worksapace",https://www.jarir.com/sa-en/samsung-lcd-monitors-638055.html,,
3999,2399,40%,JB-REPY2,anker-capsule-3-laser-multimedia-projector-624605.html,Portable Projector,Black,8.30 cm ( 3.27 in ),17.00 cm ( 6.69 in ),8.30 cm ( 3.27 in ),0.87,,,,"52Wh Built-In Battery, Watch or Play with Android TV 11.0, Hi-Fi Cinematic Sound",https://www.jarir.com/sa-en/anker-capsule-3-laser-multimedia-projector-624605.html,Wired,HDMI/USB-C/Aux-Out
24999,23499,6%,55-COL2Y,benq-w5800-multimedia-projector-647844.html,Home Theater Projector,Black,525.20 mm ( 20.68 in ),392.20 mm ( 15.44 in ),145.70 mm ( 5.74 in ),0.01,,,,"Cinematic Color Native 100% DCI-P3, 1.6 X Zoom, HDR10+, HDCP 2.2, ISFccc",https://www.jarir.com/sa-en/benq-w5800-multimedia-projector-647844.html,Wired,HDMI/HDMI (eARC)/USB 2.0/RJ-45/RS232 In/SPDIF/3D Sync Out
3649,1799,50%,16-ASP12Y2,samsung-lcd-monitors-628650.html,Smart Monitor,Black,713.00 mm ( 28.07 in ),439.70 mm ( 17.31 in ),181.50 mm ( 7.15 in ),22.07,"32""",Curved,2560 X 1440 (WQHD),"Flicker Free, HDR 600",https://www.jarir.com/sa-en/samsung-lcd-monitors-628650.html,,
6499,4999,23%,55-COL2Y,benq-gp520-multimedia-projector-657591.html,Multimedia Projector,Black,241.30 mm ( 9.50 in ),151.00 mm ( 5.94 in ),225.00 mm ( 8.86 in ),0.01,,,,"Dolby Audio, HDR10+, Google TV with Official Netflix",https://www.jarir.com/sa-en/benq-gp520-multimedia-projector-657591.html,Wired,HDMI/USB/USB-C/Audio Out
3249,1599,50%,16-ASP12Y2,samsung-lcd-monitors-628649.html,Smart Monitor,Black,615.80 mm ( 24.24 in ),384.40 mm ( 15.13 in ),165.60 mm ( 6.52 in ),16.54,"27""",Curved,2560 X 1440 (WQHD),"Flicker Free, HDR 600",https://www.jarir.com/sa-en/samsung-lcd-monitors-628649.html,,
7999,5999,25%,16-ASP12Y2,samsung-odyssey-g9-g95sd-lcd-monitors-649899.html,Gaming Monitor,Silver,195.00 cm ( 6.40 ft ),530.00 mm ( 20.87 in ),237.00 mm ( 9.33 in ),37.38,"49""",Curved 1800R,5120 X 1440 (DQHD),"FreeSync Premium Pro, Virtual AIM Point, Game Bar, Super Ultrawide GameView",https://www.jarir.com/sa-en/samsung-odyssey-g9-g95sd-lcd-monitors-649899.html,,
4799,3399,29%,16-ASP12Y2,samsung-lcd-monitors-638054.html,Gaming Monitor,Silver,61.17 cm ( 2.01 ft ),35.38 cm ( 13.93 in ),4.92 cm ( 1.94 in ),15.47,"27""",QHD (Quad HD),2560 X 1440 (QHD),"Samsung OLED Safeguard+, Eye Saver Mode",https://www.jarir.com/sa-en/samsung-lcd-monitors-638054.html,,
5999,4499,25%,JB-RMAY2,lg-ultragear-lcd-monitors-631018.html,Gaming Monitor,Black,863.60 mm ( 34.00 in ),800.00 mm ( 31.50 in ),337.10 mm ( 13.27 in ),37.72,"34""",Curved WQHD,3440 X 1440 (WQHD),"VESA Display HDR, 240 Hz Refresh Rate",https://www.jarir.com/sa-en/lg-ultragear-lcd-monitors-631018.html,,
5999,4399,26%,16-ASP12Y2,samsung-odyssey-g8-g85sd-lcd-monitors-649895.html,Gaming Monitor,Silver,814.00 mm ( 32.05 in ),423.00 mm ( 16.65 in ),193.00 mm ( 7.60 in ),19.48,"34""",Curved 1800R,3440 X 1440 (UWQHD),"FreeSync Premium Pro, Virtual AIM Point, Game Bar, Ultrawide GameView",https://www.jarir.com/sa-en/samsung-odyssey-g8-g85sd-lcd-monitors-649895.html,,
5499,3499,36%,JB-RMAY2,lg-hu710pb-multimedia-projector-637429.html,Multimedia Projector,Silver,135.00 mm ( 5.31 in ),80.00 mm ( 3.15 in ),135.00 mm ( 5.31 in ),4.26,,,,"Screen Share iOS/MacOS, Smart Projector with LG webOS2",https://www.jarir.com/sa-en/lg-hu710pb-multimedia-projector-637429.html,Wired,HDMI eARC/USB Type C
