regular_price_sar,sale_price_sar,discount_percent,warranty_code,product_type,color,width_cm,height_cm,depth_cm,weight_kg,special_features,product_url,warranty_period_months,accesorises_warranty,warranted_by,connectivity,storage
1959,999.0,49%,JB-REPY1,Travel Bag,Black,39.00 cm ( 15.35 in ),55.00 cm ( 1.80 ft ),21.00 cm ( 8.27 in ),11.26,TSA Recessed Combo Lock,https://www.jarir.com/sa-en/samsonite-evoa-spinner-cases-and-bags-527810.html,12,Accessories included 24 Months,JARIR,,
1649,824.0,50%,JB-REPY1,Visitor Chair,Black,69.00 cm ( 2.26 ft ),93.50 cm ( 3.07 ft ),60.00 cm ( 1.97 ft ),50.65,,https://www.jarir.com/sa-en/non-branded-home-office-chair-471324.html,12,Accessories included 24 Months,JARIR,,
1999,1399.0,30%,JB-REPY1,Computer Table,Brown,,,,21.5,Electronic Height Adjustment,https://www.jarir.com/sa-en/non-branded-desk-table-603251.html,12,Accessories included 24 Months,JARIR,,
1959,999.0,49%,JB-REPY1,Travel Bag,Gold,39.00 cm ( 15.35 in ),55.00 cm ( 1.80 ft ),21.00 cm ( 8.27 in ),11.26,TSA Recessed Combo Lock,https://www.jarir.com/sa-en/samsonite-evoa-spinner-cases-and-bags-527816.html,12,Accessories included 24 Months,JARIR,,
1999,1399.0,30%,JB-REPY1,Computer Table,Black,,,,21.5,Electronic Height Adjustment,https://www.jarir.com/sa-en/non-branded-desk-table-603247.html,12,Accessories included 24 Months,JARIR,,
1999,1299.0,35%,JB-REPY1,Executive Chair,Brown,69.50 cm ( 2.28 ft ),103.50 cm ( 3.40 ft ),57.00 cm ( 1.87 ft ),43.29,,https://www.jarir.com/sa-en/non-branded-home-office-chair-594617.html,12,Accessories included 24 Months,JARIR,,
1929,999.0,48%,JB-REPY1,Travel Bag,Black,37.00 cm ( 14.57 in ),40.00 cm ( 15.75 in ),24.00 cm ( 9.45 in ),11.08,with TSA Combination Lock,https://www.jarir.com/sa-en/samsonite-sefton-cases-and-bags-527260.html,12,Accessories included 24 Months,JARIR,,
1649,824.0,50%,JB-REPY1,Visitor Chair,Brown,69.00 cm ( 2.26 ft ),93.50 cm ( 3.07 ft ),60.00 cm ( 1.97 ft ),50.65,,https://www.jarir.com/sa-en/non-branded-home-office-chair-466578.html,12,Accessories included 24 Months,JARIR,,
1999,1199.0,40%,,Gaming Chair,Black,63.00 cm ( 2.07 ft ),125.00 cm ( 4.10 ft ),71.00 cm ( 2.33 ft ),0.01,"360 Degrees Rotation, Adjustable Height, Lumbar Support",https://www.jarir.com/sa-en/techpick-premium-gaming-chairs-633182.html,,,,Wired,
1999,1399.0,30%,JB-REPY1,Computer Table,White,,,,21.5,Electronic Height Adjustment,https://www.jarir.com/sa-en/non-branded-desk-table-603248.html,12,Accessories included 24 Months,JARIR,,
1059,599.0,43%,JB-REPY1,Backpack,Black,29.00 cm ( 11.42 in ),42.00 cm ( 16.54 in ),15.00 cm ( 5.91 in ),5.17,Front Pockets for Easy,https://www.jarir.com/sa-en/samsonite-sefton-cases-and-bags-527257.html,12,Accessories included 24 Months,JARIR,,
1399,799.0,42%,JB-REPY1,Executive Chair,Black,64.00 cm ( 2.10 ft ),118.00 cm ( 3.87 ft ),67.00 cm ( 2.20 ft ),36.28,,https://www.jarir.com/sa-en/non-branded-home-office-chair-634341.html,12,Accessories included 24 Months,JARIR,,
1259,799.0,36%,JB-REPY1,Briefcase,Black,41.00 cm ( 16.14 in ),31.00 cm ( 12.20 in ),12.00 cm ( 4.72 in ),4.13,Quick Access Front Pockets,https://www.jarir.com/sa-en/samsonite-sefton-cases-and-bags-527255.html,12,Accessories included 24 Months,JARIR,,
