regular_price_sar,sale_price_sar,discount_percent,warranty_code,url_path,connectivity,ports,series,product_type,color,width_cm,height_cm,depth_cm,weight_kg,screen_refresh_rate_hz,special_features,product_url
769,529,31%,33-ASP12Y3,canon-pixma-g3410-multifunction-machines-618172.html,Wi-Fi,USB,Canon PIXMA,Multi-function Machine (Copy/Fax/Print/Scan/Cloud Link),Black,445.00 mm ( 17.52 in ),163.00 mm ( 6.42 in ),330.00 mm ( 12.99 in ),14.6,Monochrome LCD Display,"Integrated Ink Tanks, 1.2Â Monochrome LCD",https://www.jarir.com/sa-en/canon-pixma-g3410-multifunction-machines-618172.html
2299,1999,13%,36-ASP12Y2,epson-l6490-multifunction-machines-637424.html,Wi-Fi,Ethernet,Epson EcoTank,Multi-function Machine (Copy/Fax/Print/Scan),Grey,346.00 mm ( 13.62 in ),347.00 mm ( 13.66 in ),375.00 mm ( 14.76 in ),18.72,LCD Touchscreen Display,Easy Printing from Mobile Device,https://www.jarir.com/sa-en/epson-l6490-multifunction-machines-637424.html
1399,1049,25%,36-ASP12Y2,epson-ecotank-l4260-multifunction-machines-597459.html,Wi-Fi,,Epson EcoTank,Multi-function Machine (Copy/Print/Scan),Black,375.00 mm ( 14.76 in ),187.00 mm ( 7.36 in ),347.00 mm ( 13.66 in ),13.0,LCD Display,"Ultra-Low Cost, Easy-refill Ink Tank System",https://www.jarir.com/sa-en/epson-ecotank-l4260-multifunction-machines-597459.html
899,649,27%,36-ASP12Y2,epson-l3256-multifunction-machines-636965.html,Wi-Fi,USB,Epson EcoTank,Multi-function Machine (Copy/Print/Scan),White,375.00 mm ( 14.76 in ),179.00 mm ( 7.05 in ),347.00 mm ( 13.66 in ),10.96,,Easy Printing from Mobile Device,https://www.jarir.com/sa-en/epson-l3256-multifunction-machines-636965.html
1399,1049,25%,24-COL2Y,hp-1602w-multifunction-machines-588220.html,Wi-Fi,USB 2.0,HP LaserJet,Multi-function Machine (Copy/Print/Scan),White,368.00 mm ( 14.49 in ),255.00 mm ( 10.04 in ),326.00 mm ( 12.83 in ),13.82,Icon LCD Display,"Self-reset Dual Band Wi-Fi, up to 50000 Page Imaging Drum",https://www.jarir.com/sa-en/hp-1602w-multifunction-machines-588220.html
1199,899,25%,24-3P12Y2,hp-1502w-printers-588161.html,Wi-Fi,USB 2.0,HP LaserJet,Laser Printer,White,348.70 mm ( 13.73 in ),214.80 mm ( 8.46 in ),285.00 mm ( 11.22 in ),10.04,Icon LCD Display,"Self-reset Dual Band Wi-Fi, up to 50000 Page Imaging Drum",https://www.jarir.com/sa-en/hp-1502w-printers-588161.html
1699,1149,32%,36-ASP12Y2,epson-eco-tank-l5290-multifunction-machines-586266.html,Wi-Fi,USB 2.0 (Device)/RJ-45/RJ-11,Epson EcoTank,Multi-function Machine (Copy/Fax/Print/Scan),Black,375.00 mm ( 14.76 in ),237.00 mm ( 9.33 in ),347.00 mm ( 13.66 in ),15.18,LCD Display,"Ultra-Low Cost, Easy-refill Ink Tank System",https://www.jarir.com/sa-en/epson-eco-tank-l5290-multifunction-machines-586266.html
2599,2199,15%,36-ASP12Y2,epson-l14150-multifunction-machines-607168.html,Wi-Fi,USB 2.0 (Device)/RJ-45,Epson EcoTank,Multi-function Machine (Copy/Fax/Print/Scan),Black,498.00 mm ( 19.61 in ),245.00 mm ( 9.65 in ),358.00 mm ( 14.09 in ),21.53,LCD Display,"Ultra-Low Cost, Easy-refill Ink Tank System",https://www.jarir.com/sa-en/epson-l14150-multifunction-machines-607168.html
1699,1449,14%,36-ASP12Y2,epson-ecotank-l8050-printers-609488.html,Wi-Fi,USB 2.0,Epson EcoTank,Inkjet Printer,Black,403.00 mm ( 15.87 in ),149.00 mm ( 5.87 in ),369.00 mm ( 14.53 in ),14.85,,"Ultra-low-cost Photos, Fast Print Speeds",https://www.jarir.com/sa-en/epson-ecotank-l8050-printers-609488.html
2799,2399,14%,36-ASP12Y2,epson-l8160-multifunction-machines-607169.html,Wi-Fi,USB Host/RJ-45,Epson EcoTank,Multi-function Machine (Copy/Print/Scan),White,403.00 mm ( 15.87 in ),162.00 mm ( 6.38 in ),369.00 mm ( 14.53 in ),14.43,TFT-LCD Touchscreen Display,Directly print to CD/DVD,https://www.jarir.com/sa-en/epson-l8160-multifunction-machines-607169.html
2999,1999,33%,AC.3PY2,anker-m5-printers-628286.html,Wi-Fi/Bluetooth/USB,USB-C,,3D Printer,Grey,43.80 cm ( 17.24 in ),50.20 cm ( 1.65 ft ),47.00 cm ( 1.54 ft ),21.49,LCD Display,"Upgraded 500 mm/s, Error Detection with AI Camera, Precise .1 mm Detail",https://www.jarir.com/sa-en/anker-m5-printers-628286.html
899,649,27%,36-ASP12Y2,epson-multifunction-machines-586282.html,Wi-Fi,USB,Epson EcoTank,Multi-function Machine (Copy/Print/Scan),Black,375.00 mm ( 14.76 in ),179.00 mm ( 7.05 in ),347.00 mm ( 13.66 in ),11.18,,Easy Printing from Mobile Device,https://www.jarir.com/sa-en/epson-multifunction-machines-586282.html
