regular_price_sar,warranty_code,product_type,color,width_cm,height_cm,depth_cm,weight_kg,special_features,product_url,warranty_period_months,accesorises_warranty,warranted_by,sale_price_sar,discount_percent
149,JB-REPY1,Backpack with Accessory,Green,31.00 cm ( 12.20 in ),47.00 cm ( 1.54 ft ),14.00 cm ( 5.51 in ),5.96,"Metal Silver Zipper, PU Puller, Pencil Case",https://www.jarir.com/sa-en/atrium-classic-cases-and-bags-628470.html,12,Accessories included 24 Months,JARIR,,
99,JB-REPY1,Backpack,Green,36.00 cm ( 14.17 in ),44.00 cm ( 17.32 in ),15.00 cm ( 5.91 in ),5.92,Compact,https://www.jarir.com/sa-en/adidas-classic-cases-and-bags-601426.html,12,Accessories included 24 Months,JARIR,79.0,20%
119,JB-REPY1,Backpack,Black,30.00 cm ( 11.81 in ),44.00 cm ( 17.32 in ),14.00 cm ( 5.51 in ),4.1,,https://www.jarir.com/sa-en/puma-phase-cases-and-bags-598422.html,12,Accessories included 24 Months,JARIR,79.0,33%
119,JB-REPY1,Backpack with Accessory,Black,31.00 cm ( 12.20 in ),17.00 in ( 43.18 cm ),43.00 cm ( 16.93 in ),6.57,Compartment for Laptop,https://www.jarir.com/sa-en/roco-cases-and-bags-599525.html,12,Accessories included 24 Months,JARIR,69.0,42%
99,JB-REPY1,Backpack,Orange,30.00 cm ( 11.81 in ),44.00 cm ( 17.32 in ),14.00 cm ( 5.51 in ),5.23,,https://www.jarir.com/sa-en/puma-phase-cases-and-bags-598427.html,12,Accessories included 24 Months,JARIR,,
169,JB-REPY1,Backpack with Accessory,Black,36.00 cm ( 14.17 in ),44.00 cm ( 17.32 in ),15.00 cm ( 5.91 in ),5.94,Pencil Case Bundle,https://www.jarir.com/sa-en/adidas-classic-cases-and-bags-627550.html,12,Accessories included 24 Months,JARIR,,
119,JB-REPY1,Backpack,Black,30.00 cm ( 11.81 in ),44.00 cm ( 17.32 in ),14.00 cm ( 5.51 in ),4.05,,https://www.jarir.com/sa-en/puma-phase-cases-and-bags-598409.html,12,Accessories included 24 Months,JARIR,,
169,JB-REPY1,Backpack,Black,36.00 cm ( 14.17 in ),44.00 cm ( 17.32 in ),15.00 cm ( 5.91 in ),5.94,Built-In Organizer,https://www.jarir.com/sa-en/adidas-vl-court-cases-and-bags-627545.html,12,Accessories included 24 Months,JARIR,,
149,JB-REPY1,Backpack,Black,30.00 cm ( 11.81 in ),44.00 cm ( 17.32 in ),14.00 cm ( 5.51 in ),6.0,,https://www.jarir.com/sa-en/puma-phase-cases-and-bags-598439.html,12,Accessories included 24 Months,JARIR,,
99,JB-REPY1,Backpack,Black,27.00 cm ( 10.63 in ),46.00 cm ( 1.51 ft ),15.00 cm ( 5.91 in ),4.65,Compact,https://www.jarir.com/sa-en/adidas-linear-cases-and-bags-601319.html,12,Accessories included 24 Months,JARIR,79.0,20%
149,JB-REPY1,Backpack,Pink,30.00 cm ( 11.81 in ),44.00 cm ( 17.32 in ),14.00 cm ( 5.51 in ),6.0,,https://www.jarir.com/sa-en/puma-phase-cases-and-bags-598440.html,12,Accessories included 24 Months,JARIR,,
59,JB-REPY1,Backpack with Accessory,Purple,30.00 cm ( 11.81 in ),40.60 cm ( 15.98 in ),17.00 cm ( 6.69 in ),5.22,Compact and Lightweight,https://www.jarir.com/sa-en/roco-little-mermaid-cases-and-bags-627633.html,12,Accessories included 24 Months,JARIR,,
169,JB-REPY1,Backpack,Black,,,,4.35,,https://www.jarir.com/sa-en/nike-elemental-cases-and-bags-594975.html,12,Accessories included 24 Months,JARIR,,
