storage,regular_price_sar,sale_price_sar,discount_percent,warranty_code,url_path,os,ai_enabled,connectivity,ports,series,product_type,color,width_cm,height_cm,depth_cm,weight_kg,screen_size_inch,screen_refresh_rate_hz,screen_resolution,network_speed,special_features,webcam,product_url
256 GB,5699,4999,12%,25-ASP12Y2,apple-smartphones-642528.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,Black,7.70 cm ( 3.03 in ),16.30 cm ( 6.42 in ),.82 cm ( .32 in ),0.31,"6.9""",Super Retina XDR Display,2868 X 1320 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-smartphones-642528.html
512 GB,6699,6099,8%,25-ASP12Y2,apple-iphone-16-pro-max-smartphones-642600.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,Black,7.71 cm ( 3.04 in ),16.30 cm ( 6.42 in ),.82 cm ( .32 in ),0.31,"6.9""",Super Retina XDR Display,2868 X 1320 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-16-pro-max-smartphones-642600.html
256 GB,5699,4999,12%,25-ASP12Y2,apple-iphone-16-pro-max-smartphones-642582.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,Grey,7.70 cm ( 3.03 in ),16.31 cm ( 6.42 in ),.82 cm ( .32 in ),0.31,"6.9""",Super Retina XDR Display,2868 X 1320 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-16-pro-max-smartphones-642582.html
1000 GB,7199,6499,9%,25-ASP12Y2,apple-iphone-16-pro-smartphones-642689.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,White,7.10 cm ( 2.80 in ),14.90 cm ( 5.87 in ),.82 cm ( .32 in ),0.27,"6.3""",Super Retina XDR Display,2622 X 1206 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-16-pro-smartphones-642689.html
256 GB,5199,4599,11%,25-ASP12Y2,apple-iphone-16-pro-smartphones-642622.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,Black,7.10 cm ( 2.80 in ),14.90 cm ( 5.87 in ),.82 cm ( .32 in ),0.27,"6.3""",Super Retina XDR Display,2622 X 1206 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-16-pro-smartphones-642622.html
512 GB,6699,6099,8%,25-ASP12Y2,apple-iphone-16-pro-max-smartphones-642661.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,Grey,7.71 cm ( 3.04 in ),16.30 cm ( 6.42 in ),.82 cm ( .32 in ),0.31,"6.9""",Super Retina XDR Display,2868 X 1320 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-16-pro-max-smartphones-642661.html
512 GB,6699,6099,8%,25-ASP12Y2,apple-iphone-15-pro-max-smartphones-642613.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,White,7.70 cm ( 3.03 in ),16.30 cm ( 6.42 in ),.82 cm ( .32 in ),0.31,"6.9""",Super Retina XDR Display,2868 X 1320 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-15-pro-max-smartphones-642613.html
512 GB,6199,5599,9%,25-ASP12Y2,apple-iphone-16-pro-smartphones-642665.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,Gold,7.10 cm ( 2.80 in ),14.90 cm ( 5.87 in ),.82 cm ( .32 in ),0.27,"6.3""",Super Retina XDR Display,2622 X 1206 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-16-pro-smartphones-642665.html
512 GB,6199,5599,9%,25-ASP12Y2,apple-iphone-16-pro-smartphones-642653.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,Black,7.10 cm ( 2.80 in ),14.90 cm ( 5.87 in ),.82 cm ( .32 in ),0.27,"6.3""",Super Retina XDR Display,2622 X 1206 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-16-pro-smartphones-642653.html
1000 GB,7699,6999,9%,25-ASP12Y2,apple-iphone-16-pro-max-smartphones-642670.html,iOS 18,Apple Intelligence,Wi-Fi/Bluetooth,USB-C,Apple iPhone 16,Smartphone,Grey,7.70 cm ( 3.03 in ),16.30 cm ( 6.42 in ),.82 cm ( .32 in ),0.31,"6.9""",Super Retina XDR Display,2868 X 1320 Pixels,5G,"Splash, Dust and Water Resistant (IP68), Camera Control, Apple Intelligence",Rear: 48 MP + 48 MP + 12 MP/Front: 12 MP,https://www.jarir.com/sa-en/apple-iphone-16-pro-max-smartphones-642670.html
