regular_price_sar,sale_price_sar,discount_percent,warranty_code,product_type,color,weight_kg,special_features,product_url,warranty_period_months,accesorises_warranty,warranted_by,width_cm,height_cm
4799,3399.0,29%,0I-3PY2,Scooter,Blue,41.26,"500W Motor Power, Smart LCD Screen, LED Light Bar, Brake Light, Turn Signal",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-643837.html,24,24 Months,Saleh Al Yafei Trading Est.,,
3199,2199.0,31%,0I-3PY2,Scooter,Black,53.08,"900W Max Power, Foldable, LED Headlights and Brake Lights, NFC Key to Lock",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-643839.html,24,24 Months,Saleh Al Yafei Trading Est.,,
7899,5199.0,34%,0I-3PY2,Electric Bike,Blue,104.1,"350W Max Power, LCD Screen with Selectable Themes, Lighting Bar, IPX5",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-652991.html,24,24 Months,Saleh Al Yafei Trading Est.,,
2299,1399.0,39%,0I-3PY2,Scooter,White,18.5,"300W Max Power, Foldable, NFC Smart Lock",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-643835.html,24,24 Months,Saleh Al Yafei Trading Est.,,
2299,1399.0,39%,0I-3PY2,Scooter,Black,18.5,"300W Max Power, Foldable, NFC Smart Lock",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-643833.html,24,24 Months,Saleh Al Yafei Trading Est.,,
7899,5199.0,34%,0I-3PY2,Electric Bike,Black,104.1,"350W Max Power, LCD Screen with Selectable Themes, Lighting Bar, IPX5",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-652989.html,24,24 Months,Saleh Al Yafei Trading Est.,,
2799,1799.0,35%,0I-3PY2,Scooter,Black,28.68,"600W Max Power, Foldable, LED Headlights and Brake Lights, NFC Key to Lock",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-643836.html,24,24 Months,Saleh Al Yafei Trading Est.,,
3949,2599.0,34%,0I-3PY2,Scooter,Black,75.43,"700W Max Power, Foldable, LED Headlight",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-643838.html,24,24 Months,Saleh Al Yafei Trading Est.,,
3799,3299.0,13%,V5.COL2Y,Electric Scooter,Black,41.91,"1300W Max Power, 2.8"" LED Dashboard, IPX5, Navee App",https://www.jarir.com/sa-en/navee-skates-skateboards-scooters-and-bikes-654385.html,,,,,
4799,3399.0,29%,0I-3PY2,Scooter,Black,41.26,"500W Motor Power, Smart LCD Screen, LED Light Bar, Brake Light, Turn Signal",https://www.jarir.com/sa-en/okai-skates-skateboards-scooters-and-bikes-652994.html,24,24 Months,Saleh Al Yafei Trading Est.,,
1319,469.0,64%,,Scooter,Black,8.86,Foldable and Adjustable Handle Bar,https://www.jarir.com/sa-en/micro-toys-523275.html,,,,72.00 cm ( 2.36 ft ),102.00 cm ( 3.35 ft )
1199,599.0,50%,,Play Accessory,White,46.67,,https://www.jarir.com/sa-en/our-generation-toys-562446.html,,,,,
2199,1899.0,13%,V5.COL2Y,Electric Scooter,Black,38.43,"700W Max Power, 2.8"" LED Dashboard, IPX5, Navee App",https://www.jarir.com/sa-en/navee-skates-skateboards-scooters-and-bikes-654382.html,,,,,
1699,1299.0,23%,XA.3P2YR,Scooter,Black,31.28,"300W Max Power, Foldable, LED Screen, Water Resistant (IP54), Bluetooth 4.1",https://www.jarir.com/sa-en/xiaomi-skates-skateboards-scooters-and-bikes-634988.html,24,12 Months,XIAOMI,,
1699,,,V5.COL2Y,Electric Scooter,Black,32.91,"600W Max Power, 4"" Suspended Display, IPX5, Bluetooth, Turning Indicators",https://www.jarir.com/sa-en/navee-skates-skateboards-scooters-and-bikes-661333.html,,,,,
999,499.0,50%,6R.3RDY2,Scooter,Silver,5.87,"60W Motor, Power Assisting Wheel, Rear Fender Brake, Multi-colored LED",https://www.jarir.com/sa-en/razor-skates-skateboards-scooters-and-bikes-630363.html,24,24 Months,Agent,,
439,189.0,56%,,Interactive Toy,Gold,3.2,,https://www.jarir.com/sa-en/moose-toys-648031.html,,,,,
1799,1499.0,16%,JB-REPY2,GoKart,Green,47.48,"Seat Belt, Reverse Function, Lights and Sounds",https://www.jarir.com/sa-en/aston-martin-skates-skateboards-scooters-and-bikes-658430.html,24,12 Months,JARIR,,
799,389.0,51%,,Play Accessory,Pink,31.59,,https://www.jarir.com/sa-en/our-generation-toys-562440.html,,,,,
239,89.0,62%,,Protective Gear,Red,2.71,"Medium (53-58 cm), 8 Ventilation Holes, Rear LED Light",https://www.jarir.com/sa-en/micro-scooter-and-bikes-accessories-562302.html,,,,,
2149,1699.0,20%,XA.3P2YR,Scooter,Black,29.01,"300W Max Power, Front Folding Buckle, Non-slip Silicone Grip, Digital Dashboard",https://www.jarir.com/sa-en/xiaomi-skates-skateboards-scooters-and-bikes-626077.html,24,12 Months,XIAOMI,,
249,129.0,48%,,Die-cast Toy Model,Assorted Color,5.04,,https://www.jarir.com/sa-en/non-branded-toys-631548.html,,,,,
299,169.0,43%,,Die-cast Toy Model,Assorted Color,5.49,,https://www.jarir.com/sa-en/non-branded-toys-631546.html,,,,,
2799,2499.0,10%,XA.3P2YR,Electric Scooter,Black,30.97,"1000W Max Motor Power, Foldable, Intelligent Battery Management System",https://www.jarir.com/sa-en/xiaomi-skates-skateboards-scooters-and-bikes-638363.html,24,12 Months,XIAOMI,,
159,49.0,69%,,Decor Novelty,Purple,7.64,,https://www.jarir.com/sa-en/disney-novelty-items-461259.html,,,,,
199,79.0,60%,,Scooter Accessory,Pink,1.62,"Medium (7-10 Years Old), with 2 Velcro Strips",https://www.jarir.com/sa-en/micro-scooter-and-bikes-accessories-562304.html,,,,,
3999,3599.0,10%,XA.3P2YR,Electric Scooter,Black,39.58,"940W Max Power, Dust and Water Resistant (IP55)",https://www.jarir.com/sa-en/xiaomi-skates-skateboards-scooters-and-bikes-644363.html,24,12 Months,XIAOMI,,
159,49.0,69%,,Decor Novelty,Red,7.64,,https://www.jarir.com/sa-en/disney-novelty-items-461257.html,,,,,
325,225.0,30%,JB-REPY1,Activity Easel,Black/White,12.38,,https://www.jarir.com/sa-en/non-branded-easels-379313.html,12,Accessories included 24 Months,JARIR,52.50 cm ( 1.72 ft ),106.00 cm ( 3.48 ft )
79,39.0,50%,,Fabric Paint,Blue,0.33,,https://www.jarir.com/sa-en/tulip-colors-and-coloring-set-550432.html,,,,,
69,29.0,57%,,Modelling Clay/Dough + Accessory,,1.84,,https://www.jarir.com/sa-en/roco-doughs-and-clays-543007.html,,,,,
79,39.0,50%,,Fabric Paint,Blue;Red;Yellow,0.33,,https://www.jarir.com/sa-en/tulip-colors-and-coloring-set-550443.html,,,,,
339,189.0,44%,,Puzzle Mat,,2.9,,https://www.jarir.com/sa-en/non-branded-puzzles-101593.html,,,,60.00 cm ( 1.97 ft ),30.00 cm ( 11.81 in )
129,89.0,31%,,Interlocking Bricks Set,Assorted Color,4.62,,https://www.jarir.com/sa-en/bloci-building-sets-618141.html,,,,,
129,89.0,31%,,Interlocking Bricks Set,Assorted Color,4.62,,https://www.jarir.com/sa-en/bloci-building-sets-618278.html,,,,,
199,79.0,60%,,Scooter Accessory,Black,1.62,"Medium (7-10 Years Old), with 2 Velcro Strips",https://www.jarir.com/sa-en/micro-scooter-and-bikes-accessories-562981.html,,,,,
69,29.0,57%,JB-REPY2,Robot,,0.42,,https://www.jarir.com/sa-en/hang-wing-electronic-learning-devices-612650.html,24,12 Months,JARIR,,
249,129.0,48%,,Play Accessory,Purple/Green,3.96,,https://www.jarir.com/sa-en/our-generation-toys-562433.html,,,,,
79,39.0,50%,,Constructive Toy Kit,White/Yellow,1.47,,https://www.jarir.com/sa-en/hang-wing-building-sets-612931.html,,,,,
269,169.0,37%,JB-REPY1,Activity Easel,Black/White,7.9,,https://www.jarir.com/sa-en/non-branded-easels-379312.html,12,Accessories included 24 Months,JARIR,48.50 cm ( 1.59 ft ),109.00 cm ( 3.58 ft )
269,229.0,14%,,Sports and Active Play,,5.1,,https://www.jarir.com/sa-en/non-branded-mini-table-tennis-toys-522871.html,,,,,
449,229.0,48%,,Playset,,0.16,,https://www.jarir.com/sa-en/our-generation-iconic-accessories-toys-529634.html,,,,,
1699,1399.0,17%,V5.COL2Y,Electric Scooter,Black,31.29,"600W Max Power, 4"" Suspended Display, IPX5, Bluetooth, Turning Indicators",https://www.jarir.com/sa-en/navee-skates-skateboards-scooters-and-bikes-654379.html,,,,,
2399,2199.0,8%,V5.COL2Y,Electric Scooter,Black,38.43,"1000W Max Power, 2.8"" LED Dashboard, IPX5, Navee App",https://www.jarir.com/sa-en/navee-skates-skateboards-scooters-and-bikes-654384.html,,,,,
279,109.0,60%,,Scooter Accessory,Black,3.64,"Medium (53-58 cm), 8 Ventilation Holes, Rear LED Light",https://www.jarir.com/sa-en/micro-scooter-and-bikes-accessories-562299.html,,,,,
199,89.0,55%,,Play Accessory,,1.16,,https://www.jarir.com/sa-en/our-generation-toys-562437.html,,,,,
159,49.0,69%,,Decor Novelty,Blue,7.64,,https://www.jarir.com/sa-en/disney-novelty-items-461258.html,,,,,
79,39.0,50%,,Fabric Paint,Lime;Pink;Turquoise,0.33,,https://www.jarir.com/sa-en/tulip-colors-and-coloring-set-550439.html,,,,,
269,149.0,44%,,Puzzle Mat,,0.78,,https://www.jarir.com/sa-en/non-branded-puzzles-102131.html,,,,60.00 cm ( 1.97 ft ),30.00 cm ( 11.81 in )
69,29.0,57%,,Replica,,0.89,,https://www.jarir.com/sa-en/animal-world-replicas-and-models-571412.html,,,,,
